[t,theta1(t),theta2(t)] 
[0.0, -0.1667, 0.0] 
[0.005, -0.1666208733376581, -7.802978490103057e-05] 
[0.01, -0.16646266963632456, -0.00023402440097933664] 
[0.015, -0.16622548617863483, -0.0004678569062222192] 
[0.02, -0.16590946795061745, -0.0007793383005321574] 
[0.025, -0.16551480771288415, -0.0011682174135961283] 
[0.030000000000000002, -0.16504174609780123, -0.0016341807520112454] 
[0.035, -0.16449057173115866, -0.002176852307809628] 
[0.04, -0.163861621376474, -0.002795793331075011] 
[0.045, -0.16315528009968894, -0.0034905020698901973] 
[0.049999999999999996, -0.16237198145164142, -0.004260413481396938] 
[0.05499999999999999, -0.16151220766532448, -0.005104898918286846] 
[0.05999999999999999, -0.16057648986457596, -0.0060232657955717524] 
[0.06499999999999999, -0.15956540828048343, -0.0070147572430024] 
[0.06999999999999999, -0.1584795924714368, -0.008078551749013025] 
[0.075, -0.15731972154241894, -0.00921376280256318] 
[0.08, -0.15608652435879658, -0.010419438539723751] 
[0.085, -0.15478077974956014, -0.011694561402307544] 
[0.09000000000000001, -0.1534033166946666, -0.0130380478162717] 
[0.09500000000000001, -0.1519550144908669, -0.0144487478980148] 
[0.10000000000000002, -0.1504368028901525, -0.015925445197050456] 
[0.10500000000000002, -0.14884966220473864, -0.017466856483855937] 
[0.11000000000000003, -0.14719462337231878, -0.019071631591962897] 
[0.11500000000000003, -0.14547276797517908, -0.02073835332357136] 
[0.12000000000000004, -0.14368522820666058, -0.022465537428121393] 
[0.12500000000000003, -0.14183318677840154, -0.02425163266334277] 
[0.13000000000000003, -0.13991787676178954, -0.026095020948315308] 
[0.13500000000000004, -0.13794058135710674, -0.027994017618004605] 
[0.14000000000000004, -0.13590263358396507, -0.029946871788584663] 
[0.14500000000000005, -0.13380541588680658, -0.03195176684261394] 
[0.15000000000000005, -0.1316503596494894, -0.03400682104279099] 
[0.15500000000000005, -0.1294389446132949, -0.036110088282575434] 
[0.16000000000000006, -0.12717269819307983, -0.03825955898141753] 
[0.16500000000000006, -0.1248531946867572, -0.040453161131692596] 
[0.17000000000000007, -0.12248205437382295, -0.04268876150368584] 
[0.17500000000000007, -0.12006094249925219, -0.04496416701411923] 
[0.18000000000000008, -0.11759156813976274, -0.047277126262758526] 
[0.18500000000000008, -0.11507568295018683, -0.049625331240590084] 
[0.19000000000000009, -0.11251507978849389, -0.05200641921192025] 
[0.1950000000000001, -0.10991159121886668, -0.05441797477153361] 
[0.2000000000000001, -0.10726708789313913, -0.05685753207676071] 
[0.2050000000000001, -0.1045834768118496, -0.05932257725296316] 
[0.2100000000000001, -0.10186269946713807, -0.06181055096955835] 
[0.2150000000000001, -0.09910672987070807, -0.06431885118229315] 
[0.2200000000000001, -0.09631757247107275, -0.06684483603605232] 
[0.22500000000000012, -0.09349725996529606, -0.06938582692107147] 
[0.23000000000000012, -0.09064785101141153, -0.07193911167403479] 
[0.23500000000000013, -0.08777142784863884, -0.07450194791419341] 
[0.24000000000000013, -0.08487009383340881, -0.0770715665033609] 
[0.24500000000000013, -0.08194597090003676, -0.07964517511744636] 
[0.2500000000000001, -0.07900119695564058, -0.08221996191609166] 
[0.2550000000000001, -0.07603792321957008, -0.0847930992960037] 
[0.2600000000000001, -0.07305831151818856, -0.08736174771273153] 
[0.2650000000000001, -0.07006453154631596, -0.08992305955494427] 
[0.27000000000000013, -0.06705875810699764, -0.09247418305473128] 
[0.27500000000000013, -0.0640431683414983, -0.09501226621707844] 
[0.28000000000000014, -0.061019938961532016, -0.097534460751481] 
[0.28500000000000014, -0.057991243495725334, -0.1000379259886362] 
[0.29000000000000015, -0.0549592495621709, -0.10251983276531834] 
[0.29500000000000015, -0.0519261161786665, -0.10497736726087267] 
[0.30000000000000016, -0.04889399112185253, -0.10740773476926561] 
[0.30500000000000016, -0.04586500834596707, -0.10980816339128983] 
[0.31000000000000016, -0.04284128547133857, -0.11217590763233243] 
[0.31500000000000017, -0.03982492135204285, -0.11450825189205871] 
